,TEFF,J-H
250,12674.921,-0.07474551129341123
251,12743.944,0.014629873275758598
252,12937.052,0.027081900596618524
253,12862.205,-0.07646595525741695
254,14254.091,-0.042492376089095174
255,13726.958,0.5225895781517025
256,9903.334,-0.06626882767677245
257,12297.403,-0.08759681797027596
258,18371.945,0.016018649697301157
259,12003.806,-0.06333265316486347
260,10883.091,-0.05454898500442695
261,16257.026000000002,-0.03380842518806659
262,10848.932,-0.20250183153152435
263,10471.481,-0.0848773541450516
264,11754.957,-0.08798936414718384
265,12055.944,-0.013649568080902341
266,12588.038,0.41096839261055074
267,9860.542,-0.03423526144027811
268,19570.287,0.59349836397171
269,15349.943,0.5018090894222258
270,19048.504,0.6711494163274772
271,12872.953,0.03600078272819296
272,10929.466,-0.03643390130996771
273,18435.521,-0.058675304651261584
274,9660.033,-0.05611967062950285
275,12427.449,-0.06182278919219897
276,9909.7295,-0.03516234064102086
277,12670.185,-0.11143168640136736
278,10081.643,-0.020634047508238496
279,10930.49,-0.0395255973339097
280,12802.155,-0.07672095942497137
281,12549.19,-0.0721473724842081
282,12899.829,0.027080877780914392
283,12522.585,0.4630828957557682
284,10243.884,-0.09135281896591074
285,12937.184,-0.11312095379829401
286,9733.892,-0.023138132095334996
287,12035.409,-0.057978852748870935
288,15354.546,0.2550316455364232
289,12852.128,-0.03867898547649595
290,10836.789,-0.04625935077667265
291,9986.394,-0.10122026491165137
292,12598.7705,-0.030172047615051767
293,10363.925,-0.07703953742980829
294,13481.775,0.15940890359878424
295,19030.008,0.3864234585762034
296,11125.257,0.011452986001968313
297,11278.238,-0.10759479618072376
298,10013.391,-0.17750041031837505
299,9768.538,-0.11427504825592116
300,11490.303,-0.0042960021495837
301,17757.037,-0.05355748891830636
302,11023.273,-0.05525371718406724
303,10894.14,-0.04120827460289078
304,9690.874,-0.08766584157943846
305,11268.477,0.014591329097747519
306,11616.426,-0.04395159435272333
307,9852.56,-0.017489679574966388
308,11455.93,-0.034450738430022554
309,14815.518999999998,-0.0780126810073849
310,10415.991,-0.04138892054557708
311,10219.829,-0.02832601714134242
312,13510.277,-0.0339263389110549
313,12999.065,-0.11267813920974667
314,9577.095,0.02002020525932302
315,9911.034,-0.07037637853622591
316,13103.512,-0.1291103558540332
317,10514.596,-0.07948405003547698
318,13727.813999999997,0.10472383618354897
319,10219.887,-0.09085474324226439
320,9488.962,-0.10307697987556352
321,9728.348,-0.11427504825592116
322,15919.142,0.3020775845795871
323,13522.861,0.6435472497344001
324,19103.18,0.5420806045979258
325,15379.372,0.47517221093177753
326,13576.756,0.6652189390659355
327,15340.178999999998,0.6185821446031348
328,12970.56,0.610632804423572
329,10650.815,-0.05414220333099351
330,9843.776,-0.016537261486051946
331,10252.361,-0.04732016372680725
332,11750.015,-0.07821652770042498
333,13154.027,0.5088749165534985
334,9852.8545,-0.01831061077118079
335,9547.971,-0.028097067832947076
336,13689.452,-0.09011274433135874
337,11467.145,-0.07553626656532231
338,9650.179,-0.00905466675758504
339,11615.934,-0.06602508139610208
340,12710.484,-0.061767178297040815
341,12088.193,-0.1272767884731305
342,9636.523,-0.02064668154716287
343,10932.563999999997,-0.04330342125892628
344,11014.316,-0.06525497627258048
345,10236.411,-0.06915037035942007
346,13378.978,-0.05365155124664511
347,15334.105,0.08218850564956703
348,12702.014,-0.13557436704635606
349,12904.192,-0.1214938235282883
350,12337.185,-0.15729156970977876
351,12337.306,-0.14964982604980293
352,12510.534,-0.08253592479229077
353,12786.691,-0.01748018646240368
354,12118.152,-0.12040362501144664
355,14252.258,-0.11189762258529434
356,12936.156,-0.23811389207839895
357,17545.729,0.1253510122299204
358,12335.363,-0.07612339043617311
359,10143.007,-0.03528802752494542
360,13096.758999999998,0.26644034814834505
361,9950.26,-0.04114932870864685
362,12913.298,-0.018868746757506827
363,10382.264,-0.13446355009078914
364,11713.143999999998,-0.08502151560782956
365,18390.66,-0.08682945632934569
366,13655.528,-0.06056104326248146
367,11215.251,-0.07712437009811701
368,15550.053999999998,-0.09408581137657102
369,10517.477,-0.07010177540779239
370,12638.66,-0.09070158457756072
371,12027.711,0.03624668073654291
372,12323.022,-0.21543427801132253
373,14636.028,-0.07491598844528191
374,14256.646,-0.0858118975162494
375,12294.086,-0.0026103646755224474
376,18082.736,0.5896071165427568
377,13576.017,0.6188650322109481
378,18022.549,0.4693929462432873
379,12639.149,-0.13111351585388142
